"Item type","Authors","Title","Journal","Publication year","Publisher","Date published","URLs","DOI","Abstract","Keywords","Notes"
"Journal Article","Kun AJ,Vamossy Z","Traffic monitoring with computer vision","2009 7th International Symposium on \ldots","2009","ieeexplore.ieee.org","2009","https://ieeexplore.ieee.org/abstract/document/4956624/","","\ldots Hence the main goal of our project is to build a traffic monitoring system which is able \ldots computer vision. The real-time process (1530 fps) of the video stream works at daylight. The traffic \ldots","Cameras,Cities and towns,Computer vision,Computerized monitoring,Image edge detection,Motion detection,Object detection,Roads,Tracking,Vehicle detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Kumaran SK,Mohapatra S,Dogra DP,Roy PP,...","Computer vision-guided intelligent traffic signaling for isolated intersections","Expert Systems with \ldots","2019","Elsevier","2019","https://www.sciencedirect.com/science/article/pii/S0957417419303847","","\ldots In this paper, we propose a new approach of traffic flow-based intelligent signal timing by \ldots paper, a computer vision-guided intelligent method has been proposed to optimize traffic \ldots","Dirichlet process mixture mod\ldots,Isolated intersections,Traffic signal timing,Unsupervised machine learning,Visual surveillance","Query date: 2023-03-13 22:02:47"
"Journal Article","Bartilson DT,Wieghaus KT,Hurlebaus S","Target-less computer vision for traffic signal structure vibration studies","Mechanical Systems and Signal \ldots","2015","Elsevier","2015","https://www.sciencedirect.com/science/article/pii/S0888327015000072","","\ldots This paper details the traffic signal structure of interest and the methods for obtaining data (Section 2). The validity of MQD-based computer vision is then analyzed for structural \ldots","Computer vision,Modal testing,Structure dynamics,Target-less,Vibration","Query date: 2023-03-13 22:02:47"
"Journal Article","Zaki MH,Sayed T,Shaaban K","Use of drivers' jerk profiles in computer vision–based traffic safety evaluations","Transportation Research \ldots","2014","journals.sagepub.com","2014","https://journals.sagepub.com/doi/pdf/10.3141/2434-13;http://dx.doi.org/10.3141/2434-13","10.3141/2434-13","\ldots The first issue was whether jerk profiles can be used to identify critical traffic events (conflicts\ldots to collect traffic data and analysis was applied on two data sets with distinct traffic patterns. \ldots","computer vision,jerk profiles,traffic safety","Query date: 2023-03-13 22:02:47"
"Journal Article","Ijjina EP,Chand D,Gupta S,...","Computer vision-based accident detection in traffic surveillance","2019 10th International \ldots","2019","ieeexplore.ieee.org","2019","https://ieeexplore.ieee.org/abstract/document/8944469/","","Computer vision-based accident detection through video surveillance has become a beneficial but daunting task. In this paper, a neoteric framework for detection of road accidents is \ldots","Accident Detection,Centroid based Object Tracking,Mask R-CNN,Vehicular Collision","Query date: 2023-03-13 22:02:47"
"Journal Article","Mhalla A,Chateau T,Gazzah S,...","An embedded computer-vision system for multi-object detection in traffic surveillance","IEEE Transactions on \ldots","2018","ieeexplore.ieee.org","2018","https://ieeexplore.ieee.org/abstract/document/8546791/","","\ldots Despite the research advances in computer vision, the performance of traffic object \ldots system for traffic surveillance which integrates recent advances in the computer vision domain such \ldots","MF R-CNN,Traffic surveillance,deep learning,embedded system,likelihood function,traffic object detection,transfer learning","Query date: 2023-03-13 22:02:47"
"Journal Article","Liu G,Shi H,Kiani A,Khreishah A,Lee J,...","Smart traffic monitoring system using computer vision and edge computing","IEEE Transactions \ldots","2021","ieeexplore.ieee.org","2021","https://ieeexplore.ieee.org/abstract/document/9546662/","","\ldots traffic detection problem and propose a two-tier edge computing model that improves the traffic \ldots We utilize and combine the hierarchical edge computing architecture with traffic related \ldots","Traffic monitoring,edge-computing,incidents detection,video analytic","Query date: 2023-03-13 22:02:47"
"Book","Ismail KA","Application of computer vision techniques for automated road safety analysis and traffic data collection","","2010","open.library.ubc.ca","2010","https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0062871","","\ldots However, the cost of field observation of traffic conflicts coupled with observer subjectivity \ldots of computer vision for conducting automated, resource-efficient, and objective traffic conflict \ldots","Computer vision,Transportation system,automation,traffic","Query date: 2023-03-13 22:02:47"
"Journal Article","Geronimo D,Serrat J,Lopez AM,...","Traffic sign recognition for computer vision project-based learning","IEEE transactions on \ldots","2013","ieeexplore.ieee.org","2013","https://ieeexplore.ieee.org/abstract/document/6425440/","","\ldots computer vision. The aim of the project is to detect and recognize traffic signs in video \ldots This is a demanding problem, given that traffic sign recognition is one of the most challenging \ldots","Computer vision (CV),Master's degree,project-based learning (PBL),traffic sign","Query date: 2023-03-13 22:02:47"
"Journal Article","Poddar M,Giridhar MK,Prabhu AS,...","Automated traffic monitoring system using computer vision","\ldots Conference on ICT in \ldots","2016","ieeexplore.ieee.org","2016","https://ieeexplore.ieee.org/abstract/document/7892717/","","\ldots computer vision technology to aid humans to prevent these violations. Instead of a regular traffic \ldots of the most sought after problems in computer vision. Here we have made an attempt to \ldots","multiple reference lines,pixel values variation,speed estimation,speed violation identification,traffic analysis,vehicle count","Query date: 2023-03-13 22:02:47"
"Journal Article","Tageldin A,Sayed T,Zaki MH,...","A safety evaluation of an Adaptive Traffic Signal Control system using Computer Vision.","\ldots in transportation studies","2014","search.ebscohost.com","2014","https://search.ebscohost.com/login.aspx?direct=true%5C&profile=ehost%5C&scope=site%5C&authtype=crawler%5C&jrnl=18245463%5C&AN=97143590%5C&h=knYY39BDn8twDGj5jNtQHOV%2Bdjlu70R0G%2BxqF6omp%2Bg8RCdHDKtF22TLrT%2FL3K30xV9GCwf7PgBEzvOPIOnq6Q%3D%3D%5C&crl=c","","\ldots traffic safety analysis based on video sensors, limited computer vision research has been directly applied to traffic conflicts road safety analysis, and even less so to the use of traffic \ldots","computer vision,traffic signal control","Query date: 2023-03-13 22:02:47"
"Journal Article","Jian X,Xia Y,Lozano-Galant JA,Sun L","Traffic sensing methodology combining influence line theory and computer vision techniques for girder bridges","Journal of Sensors","2019","hindawi.com","2019","https://www.hindawi.com/journals/js/2019/3409525/","","\ldots axles using traditional computer vision techniques [1, 20]. \ldots of computer vision techniques, this paper presents a traffic \ldots and deep learning based computer vision techniques. This paper is \ldots","Traffic sensing,computer vision,girder bridges,line theory","Query date: 2023-03-13 22:02:47"
"Journal Article","Nodado JT,Morales HC,...","Intelligent traffic light system using computer vision with android monitoring and control","TENCON 2018-2018 \ldots","2018","ieeexplore.ieee.org","2018","https://ieeexplore.ieee.org/abstract/document/8650084/","","\ldots a computer or microcontroller with limited mobility and access. This research proposes to develop an intelligent traffic light system using computer vision to measure the traffic density \ldots","Image Processing,Intelligent transportation sy\ldots,Mobile Android-Based Applicat\ldots,Traffic light control,computer vision","Query date: 2023-03-13 22:02:47"
"Journal Article","Huang MC,Yen SH","A real-time and color-based computer vision for traffic monitoring system","\ldots on Multimedia and Expo (ICME)(IEEE \ldots","2004","ieeexplore.ieee.org","2004","https://ieeexplore.ieee.org/abstract/document/1394685/","","\ldots the traffic condition and provide correct vehicles information is important in nowadays due to heavy traffic \ldots and radars are most common devices to monitor traffic condition. The use of an \ldots","Background adaptation,Shadow detection,Traffic monitoring system,Traffic scene,Vehicle detection,Vehicle tracking","Query date: 2023-03-13 22:02:47"
"Journal Article","Chowdhury MF,Biplob MR,...","Real time traffic density measurement using computer vision and dynamic traffic control","\ldots & Vision (ICIEV) and 2018 \ldots","2018","ieeexplore.ieee.org","2018","https://ieeexplore.ieee.org/abstract/document/8641039/","","\ldots Implementation of computer vision technology can help mitigate the problem. By using computer vision we can detect vehicles, count vehicles and monitor any unwanted situation on \ldots","Background subtraction,Dynamic traffic control,Foreground detection,Mixture of Gaussian,Real-time video processing","Query date: 2023-03-13 22:02:47"
"Journal Article","de Winter J,Hoogmoed J,Stapel J,Dodou D,...","Predicting perceived risk of traffic scenes using computer vision","\ldots research part F: traffic \ldots","2023","Elsevier","2023","https://www.sciencedirect.com/science/article/pii/S1369847823000177","","\ldots traffic psychology and automated driving. In this paper, we investigate whether perceived risk in images of traffic scenes can be predicted from computer vision \ldots YOLOv4 computer vision \ldots","Perceived risk,computer vision,subjective risk,traffic","Query date: 2023-03-13 22:02:47"
"Journal Article","Ahmed MI,Zaghdoud R,Ahmed MS,...","A real-time computer vision based approach to detection and classification of traffic incidents","Big Data and Cognitive \ldots","2023","mdpi.com","2023","https://www.mdpi.com/2504-2289/7/1/22","","\ldots entailed demand for road traffic security and safety, this paper presents a real-time traffic incident detection and alert system that is based on a computer vision approach. The proposed \ldots","DeepSORT tracking,accident severity classification,computer vision,object detection,postcollision vehicle fire detection,vehicle detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Guo F,Wang Y,Qian Y","Computer vision-based approach for smart traffic condition assessment at the railroad grade crossing","Advanced Engineering Informatics","2022","Elsevier","2022","https://www.sciencedirect.com/science/article/pii/S1474034621002068","","\ldots It is noteworthy that recent breakthroughs in computer vision technology provide potential solutions for the traffic condition assessment and decongestion time prediction at grade \ldots","Computer vision,Deep learning,Grade crossing,Traffic assessment,Traffic delay","Query date: 2023-03-13 22:02:47"
"Journal Article","Magrini M,Moroni D,Palazzese G,...","Computer vision on embedded sensors for traffic flow monitoring","2015 IEEE 18th \ldots","2015","ieeexplore.ieee.org","2015","https://ieeexplore.ieee.org/abstract/document/7313127/","","\ldots and low cost sensor equipped with embedded vision logics that can be used for building \ldots , we describe an ad hoc computer vision algorithm for estimation of traffic flow and discuss the \ldots","Embedded Systems,Intelligent Transport Systems\ldots,Real-Time Imaging","Query date: 2023-03-13 22:02:47"
"Journal Article","Lira G,Kokkinogenis Z,Rossetti RJ,...","A computer-vision approach to traffic analysis over intersections","2016 IEEE 19th \ldots","2016","ieeexplore.ieee.org","2016","https://ieeexplore.ieee.org/abstract/document/7795530/","","\ldots of computer vision and the most common techniques for traffic \ldots Computer vision Computer vision concerns itself with the analysis \ldots In the context of the current work, computer vision is \ldots","Cameras,Computer vision,Feature extraction,Roads,Sensors,Tracking,Vehicles","Query date: 2023-03-13 22:02:47"
"Journal Article","Billones RK,Bandala AA,Lim LA,...","Microscopic road traffic scene analysis using computer vision and traffic flow modelling","Journal of Advanced \ldots","2018","jstage.jst.go.jp","2018","https://www.jstage.jst.go.jp/article/jaciii/22/5/22_704/_article/-char/ja/","","\ldots of a vision-based system for microscopic road traffic scene analysis and understanding using computer vision and computational intelligence techniques. The traffic flow model is \ldots","computer vision,intelligent transport systems,microscopic traffic flow mode\ldots,traffic scene analysis,vehicle detection and tracking","Query date: 2023-03-13 22:02:47"
"Journal Article","Haghighat A,Sharma A","A computer vision‐based deep learning model to detect wrong‐way driving using pan–tilt–zoom traffic cameras","Computer‐Aided Civil and \ldots","2023","Wiley Online Library","2023","https://onlinelibrary.wiley.com/doi/abs/10.1111/mice.12819;http://dx.doi.org/10.1111/mice.12819","10.1111/mice.12819","\ldots In this study, 10 live video streams from traffic cameras using the public Real-Time-Streaming \ldots with dashcams and traffic-signal cameras and include 2.8 million car class objects.) \ldots","Computer vision,deep learning,driving,traffic camera","Query date: 2023-03-13 22:02:47"
"Journal Article","Kanagaraj N,Hicks D,Goyal A,Tiwari S,...","Deep learning using computer vision in self driving cars for lane and traffic sign detection","International Journal of \ldots","2021","Springer","2021","https://link.springer.com/article/10.1007/s13198-021-01127-6;http://dx.doi.org/10.1007/s13198-021-01127-6","10.1007/s13198-021-01127-6","\ldots The most complex part of training is the use of computer vision for feature extraction and \ldots Along with lane detection, a self-driving car must also be able to detect traffic signs. The \ldots","Autonomous vehicles,Computer vision,Deep learning,Self-driving cars","Query date: 2023-03-13 22:02:47"
"Journal Article","Qi B,Zhao W,Zhang H,Jin Z,Wang X,...","Automated traffic volume analytics at road intersections using computer vision techniques","2019 5th International \ldots","2019","ieeexplore.ieee.org","2019","https://ieeexplore.ieee.org/abstract/document/8883683/","","\ldots an automated traffic analysis system which leverages computer vision techniques to track objects and further infer traffic volume. The system uses low-cost embedded computers to \ldots","Audio processing,CNN,Driver distraction,Sensor fusion,Traffic context information","Query date: 2023-03-13 22:02:47"
"Journal Article","Santhosh KK,Dogra DP,Roy PP","Anomaly detection in road traffic using visual surveillance: A survey","ACM Computing Surveys (CSUR)","2020","dl.acm.org","2020","https://dl.acm.org/doi/abs/10.1145/3417989;http://dx.doi.org/10.1145/3417989","10.1145/3417989","\ldots Timely detection of traffic violations and abnormal behavior of pedestrians at public places through computer vision and visual surveillance can be highly effective for maintaining traffic \ldots","Learning methods,classification,road traffic analysis","Query date: 2023-03-13 22:02:47"
"Journal Article","Alhuthali SA,Zia MY,Rashid M","A simplified traffic flow monitoring system using computer vision techniques","2022 2nd International \ldots","2022","ieeexplore.ieee.org","2022","https://ieeexplore.ieee.org/abstract/document/9711550/","","\ldots computer vision that can be used for traffic \ldots traffic control systems, smart signaling, and accident detection etc. In this article, a computer vision based system design is proposed for traffic \ldots","Computer Vision,Image Processing,MATLAB,Traffic Monitoring,Vehicle Classification,Vehicle Detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Ci W,Xu T,Lin R,Lu S","A Novel Method for Unexpected Obstacle Detection in the Traffic Environment Based on Computer Vision","Applied Sciences","2022","mdpi.com","2022","https://www.mdpi.com/1816006","","\ldots environment perception, namely computer vision solution and radar solution\ldots computer vision solution is closer to the human driving form and has great potential for development. Vision \ldots","Bayesian fusion,computer vision,open,semantic segmentation,set recognition algorithm,uncertainty degree,unexpected obstacle detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Bruin A,Booysen T","Drone-based traffic flow estimation and tracking using computer vision: transportation engineering","Civil Engineering= Siviele Ingenieurswese","2015","journals.co.za","2015","https://journals.co.za/doi/abs/10.10520/EJC177738;http://dx.doi.org/10.10520/EJC177738","10.10520/EJC177738","The autonomous drone-based traffic flow estimation system can effectively be \ldots of the computer vision system used to detect and calculate vehicle velocities for calculation of key traffic \ldots","Drone,computer vision,traffic flow,transportation engineering","Query date: 2023-03-13 22:02:47"
"Journal Article","Yang HF,Ling Y,Kopca C,Ricord S,Wang Y","Cooperative traffic signal assistance system for non-motorized users and disabilities empowered by computer vision and edge artificial intelligence","Transportation research part \ldots","2022","Elsevier","2022","https://www.sciencedirect.com/science/article/pii/S0968090X22003096","","\ldots including improvement the traffic network capacity, \ldots — Vision Enhanced Non-motorized Users Services (VENUS) smart node is proposed. With customized up-to-date computer vision \ldots","Computer vision,Connected vehicle,Disability user,Edge computing,Signal Phase and Timing (SPaT),Smart infrastructure","Query date: 2023-03-13 22:02:47"
"Book","Messelodi S,Modena CM","A computer vision system for traffic accident risk measurement: A case study","","2005","cris.fbk.eu","2005","https://cris.fbk.eu/handle/11582/14769","","\ldots traffic. A method for the computation of the accident risk is proposed, which is based on microscopic traffic \ldots ie it does not require a manual collection of traffic data. The paper presents the \ldots","computer vision,risk measurement,traffic accident","Query date: 2023-03-13 22:02:47"
"Journal Article","Sun X,Ding J,Chiara GD,Cheah L,...","A generic framework for monitoring local freight traffic movements using computer vision-based techniques","2017 5th IEEE \ldots","2017","ieeexplore.ieee.org","2017","https://ieeexplore.ieee.org/abstract/document/8005592/","","\ldots computer visionbased techniques to collect high-level traffic \ldots freight traffic movements at any well-defined freight traffic generator, \ldots The framework employs stateof-the-art computer vision \ldots","Cameras,Computer vision,Data collection,Image recognition,License plate recognition,Monitoring,Support vector machines","Query date: 2023-03-13 22:02:47"
"Journal Article","Jie KS,Liu M","Computer vision based real-time information acquisition for transport traffic","2005 IEEE International Conference on \ldots","2005","ieeexplore.ieee.org","2005","https://ieeexplore.ieee.org/abstract/document/1635075/","","\ldots The use of computer vision in road traffic monitoring systems can potentially offer more \ldots to extract far more traffic-related information, greater flexibility in the choice of traffic scene, and \ldots","Computer vision,Information acquisition,Motion estimation,Real-time image processing,Traffic monitoring","Query date: 2023-03-13 22:02:47"
"Journal Article","Elahi MM,Yasir R,Syrus MA,...","Computer vision based road traffic accident and anomaly detection in the context of Bangladesh","\ldots , Electronics &Vision \ldots","2014","ieeexplore.ieee.org","2014","https://ieeexplore.ieee.org/abstract/document/6850780/","","\ldots of traffic accident and Shah Alam [11] evaluated the rate of road traffic accidents and fatality \ldots In this research, we propose a computer vision based method that analyses motion of \ldots","Bangladesh,Computer vision,Feature extraction,Machine learning,Neural network,Road traffic accident detecti\ldots,Vehicle detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Satti SK,Devi KS,Dhar P,Srinivasan P","Enhancing and classifying traffic signs using computer vision and deep convolutional neural network","\ldots 2020, Silchar, India, July 30-31 \ldots","2020","Springer","2020","https://link.springer.com/chapter/10.1007/978-981-15-6315-7_20;http://dx.doi.org/10.1007/978-981-15-6315-7_20","10.1007/978-981-15-6315-7_20","\ldots Detection of traffic signs has been evolving as a traditional issue in computer vision for smart vehicles. The detection mechanism is observed as a preliminary step for the recognition of \ldots","CNN,Computer vision,Deep Learning,Real time transportation,Traffic sign","Query date: 2023-03-13 22:02:47"
"Journal Article","Zaki MH,Sayed T,Wang X","Computer vision approach for the classification of bike type (motorized versus non‐motorized) during busy traffic in the city of Shanghai","Journal of Advanced \ldots","2016","Wiley Online Library","2016","https://onlinelibrary.wiley.com/doi/abs/10.1002/atr.1327;http://dx.doi.org/10.1002/atr.1327","10.1002/atr.1327","\ldots automated collection of the traffic data. In recent years, computer vision has been adopted to \ldots analysis by identifying traffic conflicts and analyzing their implications on traffic safety 10. \ldots","China,bicycles,computer vision,data collection,motorcycles,road,users classification","Query date: 2023-03-13 22:02:47"
"Journal Article","Ramasamy P,Kabadi M","An autonomous navigational system using GPS and computer vision for futuristic road traffic","\ldots Journal of Electrical and Computer \ldots","2022","academia.edu","2022","https://www.academia.edu/download/75607130/19_23660_EM_1jul_3jun_14jul20_Y.pdf","","\ldots This paper has reviewed the global positioning system (GPS) and computer vision based \ldots GPS as well as computer vision considering the case study of futuristic road traffic system. An \ldots","GPS,autonomous,computer vision,navigation system,road traffic","Query date: 2023-03-13 22:02:47"
"Journal Article","Zhou S,Ng ST,Yang Y,Xu JF","Integrating computer vision and traffic modeling for near-real-time signal timing optimization of multiple intersections","Sustainable Cities and Society","2021","Elsevier","2021","https://www.sciencedirect.com/science/article/pii/S2210670721000676","","\ldots traffic signals at an isolated intersection. A framework that integrates computer vision and traffic modeling is proposed to link the real-world transport systems and operable virtual traffic \ldots","Computer vision,Ontology,Signal timing,Traffic modeling,Transfer learning","Query date: 2023-03-13 22:02:47"
"Journal Article","Salimullina AD,Budanov DO","Computer Vision System for Speed Limit Traffic Sign Recognition","2022 Conference of Russian \ldots","2022","ieeexplore.ieee.org","2022","https://ieeexplore.ieee.org/abstract/document/9755744/","","\ldots approach to traffic sign recognition. Computer vision algorithms for traffic sign detection are \ldots The machine learning algorithm used for traffic sign recognition is described in Section IV. \ldots","computer vision,image recognition,machine learning,neural network,single-board computer,traffic sign recognition","Query date: 2023-03-13 22:02:47"
"Journal Article","Ubaid MT,Saba T,Draz HU,Rehman A,...","Intelligent Traffic Signal Automation Based on Computer Vision Techniques Using Deep Learning","IT \ldots","2022","ieeexplore.ieee.org","2022","https://ieeexplore.ieee.org/abstract/document/9717356/","","\ldots traffic control systems. Most designs can easily detect traffic speed and volume, but measuring traffic \ldots in automated traffic control systems, researchers focus on computer vision and deep \ldots","Artificial intelligence,Deep learning,Intelligent transportation systems,Monitoring,Real-time systems,Traffic congestion,Traffic control,Urban areas,Vehicle detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Umair M,Farooq MU,Raza RH,Chen Q,Abdulhai B","Efficient video-based vehicle queue length estimation using computer vision and deep learning for an urban traffic scenario","Processes","2021","mdpi.com","2021","https://www.mdpi.com/1303826","","\ldots data for better traffic management and control [10]. Recent advances in computer vision and \ldots annotation, detection and classification in traffic surveillance application. Moreover, large-\ldots","YOLO,computer vision,convolutional neural networks,deep learning,intelligent transportation sy\ldots,vehicle queue length","Query date: 2023-03-13 22:02:47"
