left_authors,right_authors,left_title,right_title,left_keywords,right_keywords,label,id
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['bhargava a', 'bansal a']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",0,16
"['vinitha v', 'velantina v']","['deepan p', 'sudha lr']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']",0,17
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['sood s', 'singh h']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']",0,18
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",0,19
['tombe r'],"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']",1,20
['tombe r'],"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']",0,21
"['vinitha v', 'velantina v']","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'machine perception', 'medicine']",0,22
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['vij r', 'arora s']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",1,23
['tombe r'],"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['covid-19', 'computer vision', 'radiology']",0,24
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['wangsan k', 'upaphong p', 'assavanopakun p', 'sapbamrer r', 'sirikul w', 'kitro a', 'sirimaharaj n', 'kuanprasert s', 'saenpo m', 'saetiao s', 'khamphichai t']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['self-reported', 'computer', 'vision', 'syndrome', 'among', 'thai', 'university', 'students', 'in', 'virtual', 'classrooms', 'during', 'the', 'covid-19', 'pandemic:', 'prevalence', 'and', 'associated', 'factors']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","['covid-19 impact', 'computer vison syndrome', 'digital eye strain', 'digital screen', 'online study', 'video display terminal', 'virtual classroom', 'visual display terminal']",1,25
['tombe r'],"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",1,26
"['vinitha v', 'velantina v']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,27
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",0,28
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['khan aa', 'laghari aa', 'awan sa']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']",0,29
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['vo tt', 'ko h', 'huh jh', 'kim y']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['overview', 'of', 'smart', 'aquaculture', 'system:', 'focusing', 'on', 'applications', 'of', 'machine', 'learning', 'and', 'computer', 'vision']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['ai', 'application', 'artificial intelligent', 'machine learning', 'smart aquaculture']",0,30
"['vinitha v', 'velantina v']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,31
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']",0,32
"['khemasuwan d', 'sorensen js', 'colt hg']","['alguliyev r', 'imamverdiyev y', 'sukhostat l', 'bayramov r']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['plant', 'disease', 'detection', 'based', 'on', 'a', 'deep', 'model']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['deep learning', 'machine learning', 'plant disease identification', 'plant leaves']",0,33
"['luo c', 'pearson p', 'xu g', 'rich sm']","['vij r', 'arora s']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'medical entomology', 'ticks']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,34
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['gazzah s', 'bencharef o']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['covid-19', 'computer vision', 'radiology']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']",0,35
"['abudawood ga', 'ashi hm', 'almarzouki nk']","['alhasan as', 'aalam wa']","['computer', 'vision', 'syndrome', 'among', 'undergraduate', 'medical', 'students', 'in', 'king', 'abdulaziz', 'university,', 'jeddah,', 'saudi', 'arabia']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'dry eye disease']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']",1,36
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['bhargava a', 'bansal a']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",0,37
"['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['vij r', 'arora s']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,38
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['vinitha v', 'velantina v']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'deep learning', 'opencv']",0,39
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,40
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['covid-19', 'computer vision', 'radiology']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",0,41
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['vinitha v', 'velantina v']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'deep learning', 'opencv']",0,42
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['uryasheva a', 'kalashnikova a', 'shadrin d', 'evteeva k', 'moskovtsev e', 'rodichenko n']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['computer', 'vision-based', 'platform', 'for', 'apple', 'leaves', 'segmentation', 'in', 'field', 'conditions', 'to', 'support', 'digital', 'phenotyping']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","['computer vision', 'image processing', 'plant disease detection', 'precision agriculture', 'remote sensing']",1,43
"['gazzah s', 'bencharef o']","['vinitha v', 'velantina v']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']","['computer vision', 'deep learning', 'opencv']",0,44
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['gazzah s', 'bencharef o']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']",0,45
"['meske c', 'bunde e']","['vij r', 'arora s']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,46
"['meske c', 'bunde e']","['vinitha v', 'velantina v']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","['computer vision', 'deep learning', 'opencv']",0,47
"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,48
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,49
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'machine perception', 'medicine']",1,50
"['vij r', 'arora s']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,51
