Authors_l,Title_l,Keywords_l,Authors_raw_l,Title_raw_l,Keywords_raw_l,Authors_r,Title_r,Keywords_r,Authors_raw_r,Title_raw_r,Keywords_raw_r
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv"
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply"
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"agriculture,computer vision,deep learning model,wheat disease"
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['deepan p', 'sudha lr']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']","Deepan P,Sudha LR",Deep Learning Algorithm and Its Applications to IoT and Computer Vision,"Adversarial network and encoder,Convolutional network,Deep learning,Internet of Things,Recurrent network"
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping","['sood s', 'singh h']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Sood S,Singh H",Computer Vision and Machine Learning based approaches for Food Security: A Review,"Convolutional neural network,Deep learning,Food Ssecurity,Smart farming"
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping"
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare"
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"anemia,artificial neural network,computer vision,deep learning"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine"
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"anemia,artificial neural network,computer vision,deep learning","['vij r', 'arora s']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Vij R,Arora S",Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages"
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'computer vision', 'radiology']","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision and radiology for COVID-19 detection,"COVID-19,Computer Vision,Radiology"
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS",Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,"Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","['wangsan k', 'upaphong p', 'assavanopakun p', 'sapbamrer r', 'sirikul w', 'kitro a', 'sirimaharaj n', 'kuanprasert s', 'saenpo m', 'saetiao s', 'khamphichai t']","['self-reported', 'computer', 'vision', 'syndrome', 'among', 'thai', 'university', 'students', 'in', 'virtual', 'classrooms', 'during', 'the', 'covid-19', 'pandemic:', 'prevalence', 'and', 'associated', 'factors']","['covid-19 impact', 'computer vison syndrome', 'digital eye strain', 'digital screen', 'online study', 'video display terminal', 'virtual classroom', 'visual display terminal']","Wangsan K,Upaphong P,Assavanopakun P,Sapbamrer R,Sirikul W,Kitro A,Sirimaharaj N,Kuanprasert S,Saenpo M,Saetiao S,Khamphichai T",Self-Reported Computer Vision Syndrome among Thai University Students in Virtual Classrooms during the COVID-19 Pandemic: Prevalence and Associated Factors,"COVID-19 impact,computer vison syndrome,digital eye strain,digital screen,online study,video display terminal,virtual classroom,visual display terminal"
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning"
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"anemia,artificial neural network,computer vision,deep learning","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike"
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","['khan aa', 'laghari aa', 'awan sa']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","Khan AA,Laghari AA,Awan SA",Machine Learning in Computer Vision: A Review,"Computer Vision,Feature Extraction,Machine Learning,Medical Imaging,Neural Network,Pattern Recognition,Supervised and Unsupervised Learning"
