Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Flag,Pair of Article,Authors_l_raw,Authors_r_raw,Title_l_raw,Title_r_raw,Keywords_l_raw,Keywords_r_raw,Sim_Prefix,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['review', 'agricultural', 'advancement', 'based', 'computer', 'vision', 'machine', 'learning']","['review', 'computer', 'vision', 'technology', 'physical', 'exercise', 'monitoring']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,49,"Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,A Review on Computer Vision Technology for Physical Exercise Monitoring,"Agriculture,Computer vision,Machine learning,Plant phenotyping","computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring",0.818182,0,0.25,0.111111,0.120370
"['sÃ¡nchez-brau m', 'domenech-amigot b', 'brocal-fernÃ¡ndez f', 'quesada-rico ja', 'seguÃ­-crespo m']","['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['prevalence', 'computer', 'vision', 'syndrome', 'relationship', 'ergonomic', 'individual', 'factors', 'presbyopic', 'vdt', 'workers', 'using', 'progressive', 'addition', 'lenses']","['prevalence', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'associated', 'factors', 'among', 'university', 'students']","['computer vision syndrome', 'ergonomics', 'presbyopia', 'progressive addition lenses', 'video display terminals', 'workplace']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']",1,65,"SÃ¡nchez-Brau M,Domenech-Amigot B,Brocal-FernÃ¡ndez F,Quesada-Rico JA,SeguÃ­-Crespo M","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS",Prevalence of Computer Vision Syndrome and Its Relationship with Ergonomic and Individual Factors in Presbyopic VDT Workers Using Progressive Addition Lenses,Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,"computer vision syndrome,ergonomics,presbyopia,progressive addition lenses,video display terminals,workplace","Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems",0.791667,0,0.238095,0.1,0.112698
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['covid-19', 'computer vision', 'radiology']",0,67,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Punia R,Kumar L,Mujahid M,Rohilla R",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer vision and radiology for COVID-19 detection,"anemia,artificial neural network,computer vision,deep learning","COVID-19,Computer Vision,Radiology",0.73913,0,0.125,0.166667,0.097222
"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['vij r', 'arora s']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,72,"Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F","Vij R,Arora S",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.869565,0,0.086957,0.222222,0.103060
"['sood s', 'singh h']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'machine', 'learning', 'based', 'approaches', 'food', 'security', ':', 'review']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",1,80,"Sood S,Singh H","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Computer Vision and Machine Learning based approaches for Food Security: A Review,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"Convolutional neural network,Deep learning,Food Ssecurity,Smart farming","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.875,0,0.210526,0.125,0.111842
"['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['vij r', 'arora s']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,81,"FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM","Vij R,Arora S",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.833333,0,0.125,0.25,0.125000
['tombe r'],"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,82,Tombe R,"Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Computer Vision for Smart Farming and Sustainable Agriculture,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.818182,0,0.117647,0.222222,0.113290
"['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","['computer vision', 'medical entomology', 'ticks']",0,86,"Aboneh T,Rorissa A,Srinivasagan R,Gemechu A","Luo C,Pearson P,Xu G,Rich SM",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"agriculture,computer vision,deep learning model,wheat disease","Computer vision,Medical entomology,Ticks",0.833333,0,0.176471,0.166667,0.114379
['tombe r'],"['vij r', 'arora s']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,88,Tombe R,"Vij R,Arora S",Computer Vision for Smart Farming and Sustainable Agriculture,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.695652,0,0.125,0.2,0.108333
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['sood s', 'singh h']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'machine', 'learning', 'based', 'approaches', 'food', 'security', ':', 'review']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']",0,92,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Sood S,Singh H",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer Vision and Machine Learning based approaches for Food Security: A Review,"anemia,artificial neural network,computer vision,deep learning","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming",0.75,0,0.15,0.142857,0.097619
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",0,93,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"anemia,artificial neural network,computer vision,deep learning","agriculture,computer vision,deep learning model,wheat disease",0.863636,0,0.142857,0.142857,0.095238
"['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer', 'vision', 'approach', 'identifying', 'ticks', 'related', 'lyme', 'disease']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",0,95,"FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease",0.833333,0,0.095238,0.181818,0.092352
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'medical entomology', 'ticks']",0,101,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Luo C,Pearson P,Xu G,Rich SM",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"anemia,artificial neural network,computer vision,deep learning","Computer vision,Medical entomology,Ticks",0.863636,0,0.157895,0.166667,0.108187
['tombe r'],"['sood s', 'singh h']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'machine', 'learning', 'based', 'approaches', 'food', 'security', ':', 'review']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']",0,102,Tombe R,"Sood S,Singh H",Computer Vision for Smart Farming and Sustainable Agriculture,Computer Vision and Machine Learning based approaches for Food Security: A Review,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming",0.782609,0,0.142857,0.111111,0.084656
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,104,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",A Computer Vision Approach to Combat Lyme Disease,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.863636,0,0.1875,0.111111,0.099537
"['abudawood ga', 'ashi hm', 'almarzouki nk']","['adane f', 'alamneh ym', 'desta m']","['computer', 'vision', 'syndrome', 'among', 'undergraduate', 'medical', 'students', 'king', 'abdulaziz', 'university', ',', 'jeddah', ',', 'saudi', 'arabia']","['computer', 'vision', 'syndrome', 'predictors', 'among', 'computer', 'users', 'ethiopia', ':', 'systematic', 'review', 'meta-analysis']","['computer vision syndrome', 'dry eye disease']","['bankers', 'cvs', 'computer vision syndrome', 'employees', 'meta-analysis and ethiopia', 'secretaries', 'system review']",1,110,"Abudawood GA,Ashi HM,Almarzouki NK","Adane F,Alamneh YM,Desta M","Computer Vision Syndrome among Undergraduate Medical Students in King Abdulaziz University, Jeddah, Saudi Arabia",Computer vision syndrome and predictors among computer users in Ethiopia: a systematic review and meta-analysis,"computer vision syndrome,dry eye disease","Bankers,CVS,Computer vision syndrome,Employees,Meta-analysis and Ethiopia,Secretaries,System review",0.703704,0,0.190476,0.125,0.105159
