Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
318,"WT Freeman, K Tanaka, J Ohta…","Computer vision for computer games",1996,"Proceedings of the …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/557250/","https://scholar.google.com/scholar?cites=7023554918575472067&as_sdt=2005&sciodt=2007&hl=en",12,"2023-02-21 11:50:24","","","","",,,,,318,11.78,80,4,27,"… A computer vision-based user interface could provide these capabilities. Computer games … games represents a lowend niche in the spectrum of computer vision algorithms. The speed …","https://ieeexplore.ieee.org/iel3/4096/12122/00557250.pdf","https://scholar.google.com/scholar?q=related:w30jbvyteGEJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
7973,"R Szeliski","Computer vision: algorithms and applications",2022,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QptXEAAAQBAJ&oi=fnd&pg=PR9&dq=computer+vision&ots=BMBht0QAto&sig=WZLzCtuyLtWcwcK3_1W9M30NkAg","https://scholar.google.com/scholar?cites=10310805994138522031&as_sdt=2005&sciodt=2007&hl=en",13,"2023-02-21 11:50:24","BOOK","","","",,,,,7973,7973.00,7973,1,1,"… doing computer vision research in … in computer vision to students in both computer science and electrical engineering. I prefer students to have either an image processing or a computer …","https://www.academia.edu/download/54343495/Algorithms_and_ApplicationsSzeliskiBook_20100805_draft.pdf","https://scholar.google.com/scholar?q=related:r1GYNGxXF48J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
204,"RM Haralick, LG Shapiro","Glossary of computer vision terms.",1991,"Pattern Recognit.","academia.edu","https://www.academia.edu/download/42393821/Glossary_of_computer_vision_terms20160208-14055-1hf3dbe.pdf","https://scholar.google.com/scholar?cites=9318734980008482760&as_sdt=2005&sciodt=2007&hl=en",14,"2023-02-21 11:50:24","PDF","","","",,,,,204,6.38,102,2,32,"1. An image is a spatial representation of an object, a two-dimensional or three-dimensional scene, or another image. It can be real or virtual as in optics, In computer vision,“image” …","https://www.academia.edu/download/42393821/Glossary_of_computer_vision_terms20160208-14055-1hf3dbe.pdf","https://scholar.google.com/scholar?q=related:yJdpbxfMUoEJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
24743,"C Szegedy, V Vanhoucke, S Ioffe…","Rethinking the inception architecture for computer vision",2016,"… on computer vision …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Szegedy_Rethinking_the_Inception_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=1692140599533045894&as_sdt=2005&sciodt=2007&hl=en",15,"2023-02-21 11:50:24","","","","",,,,,24743,3534.71,6186,4,7,"… Convolutional networks are at the core of most stateof-the-art computer vision solutions for a … factors for various use cases such as mobile vision and big-data scenarios. Here we are …","https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Szegedy_Rethinking_the_Inception_CVPR_2016_paper.pdf","https://scholar.google.com/scholar?q=related:hggv8eiwexcJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
6655,"O Faugeras, OA Faugeras","Three-dimensional computer vision: a geometric viewpoint",1993,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Aa6TTW9dWy0C&oi=fnd&pg=PR11&dq=computer+vision&ots=eXDUAu6cTc&sig=oqfZaVQgpW8cqjPAN439DCecBIk","https://scholar.google.com/scholar?cites=8772280541768518890&as_sdt=2005&sciodt=2007&hl=en",16,"2023-02-21 11:50:24","BOOK","","","",,,,,6655,221.83,3328,2,30,"… The question of how to extract this information has been at the core of computer vision from the … process; one of the main thrusts of computer vision and of this book is to analyze the …","","https://scholar.google.com/scholar?q=related:6gwv2qxmvXkJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
252,"T Huang","Computer vision: Evolution and promise",1996,"","cds.cern.ch","https://cds.cern.ch/record/400313/files/p21","https://scholar.google.com/scholar?cites=18393950148034021089&as_sdt=2005&sciodt=2007&hl=en",17,"2023-02-21 11:50:24","PDF","","","",,,,,252,9.33,252,1,27,"… computer vision and give a very brief history of it. Then, we outline some of the reasons why computer vision … Finally, we discuss past, present, and future applications of computer vision. …","https://cds.cern.ch/record/400313/files/p21","https://scholar.google.com/scholar?q=related:4cbPTTRwRP8J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
1490,"CH Chen","Handbook of pattern recognition and computer vision",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=IWzFCwAAQBAJ&oi=fnd&pg=PR7&dq=computer+vision&ots=dzcglv-nPy&sig=HJCpOQ-9nBwUvGL9MSO5CHgp21E","https://scholar.google.com/scholar?cites=5872223486808666998&as_sdt=2005&sciodt=2007&hl=en",18,"2023-02-21 11:50:24","BOOK","","","",,,,,1490,186.25,1490,1,8,"… Computer vision researchers have long realized the importance of knowledge. The chapter, … from different sources to improve different computer vision tasks. Specifically an augmented …","","https://scholar.google.com/scholar?q=related:drPvHCZUflEJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
872,"SJD Prince","Computer vision: models, learning, and inference",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=PmrICLzHutgC&oi=fnd&pg=PA1&dq=computer+vision&ots=cTPVPoK0ZA&sig=DjGhufGp4jydOUkUuEdyFhpLgNs","https://scholar.google.com/scholar?cites=17028825641248777406&as_sdt=2005&sciodt=2007&hl=en",19,"2023-02-21 11:50:24","BOOK","","","",,,,,872,79.27,872,1,11,"… with vision examples rather than a book on vision built on … comprehensive view of computer vision, by excellent … of the state of the art in computer vision, the frontier of our knowledge …","","https://scholar.google.com/scholar?q=related:vmSyuLKKUuwJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
3357,"M Nixon, A Aguado","Feature extraction and image processing for computer vision",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=KcW-DwAAQBAJ&oi=fnd&pg=PP1&dq=computer+vision&ots=10oD_pOB2U&sig=5YsrFLxNGSA3ZM3K6eke6WjIX9I","https://scholar.google.com/scholar?cites=5808628695636459616&as_sdt=2005&sciodt=2007&hl=en",20,"2023-02-21 11:50:24","BOOK","","","",,,,,3357,839.25,1679,2,4,"… By virtue of the enormous breadth of the subject of image processing and computer vision, we restricted the focus to feature extraction and image processing in computer vision for this …","https://eprints.soton.ac.uk/349701/1/Extended%2520Contents%2520List.pdf","https://scholar.google.com/scholar?q=related:YECN8wVlnFAJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
305,"A Hanson","Computer vision systems",1978,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=gMGkDLLhnFUC&oi=fnd&pg=PP1&dq=computer+vision&ots=lbFMofBbn4&sig=MGzSktDWLghDl0rN5j1mAlYenQ0","https://scholar.google.com/scholar?cites=13156424317949293461&as_sdt=2005&sciodt=2007&hl=en",21,"2023-02-21 11:50:24","BOOK","","","",,,,,305,6.78,305,1,45,"… This leads to questions concerning the adequacy of current methodology and serial computers for research in computer vision and the final hardware structure for practical, working …","","https://scholar.google.com/scholar?q=related:lbOtITYClbYJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
175,"G Danuser","Computer vision in cell biology",2011,"Cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S0092867411012906","https://scholar.google.com/scholar?cites=12303488673692326106&as_sdt=2005&sciodt=2007&hl=en",22,"2023-02-21 11:50:24","HTML","","","",,,,,175,14.58,175,1,12,"… roles computer vision may … of computer vision in the interpretation of image data from light microscopy, although a similar essay could be written easily about the roles of computer vision …","https://www.sciencedirect.com/science/article/pii/S0092867411012906","https://scholar.google.com/scholar?q=related:2hh5FcPFvqoJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
353,"WT Freeman, DB Anderson, P Beardsley…","Computer vision for interactive computer graphics",1998,"IEEE Computer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/674971/","https://scholar.google.com/scholar?cites=11882329565403884267&as_sdt=2005&sciodt=2007&hl=en",23,"2023-02-21 11:50:24","","","","",,,,,353,14.12,88,4,25,"… computer vision algorithms that capitalize on the advantages of interactive graphics applications. We developed or applied various vision … visionbased interfaces for several computer …","https://ieeexplore.ieee.org/iel4/38/14827/00674971.pdf","https://scholar.google.com/scholar?q=related:6yoF0siD5qQJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
162,"A Rosenfeld","Computer vision: basic principles",1988,"Proceedings of the IEEE","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5961/","https://scholar.google.com/scholar?cites=11945880583501007357&as_sdt=2005&sciodt=2007&hl=en",24,"2023-02-21 11:50:24","","","","",,,,,162,4.63,162,1,35,"… shall refer to any such process as “computer vision” in this paper. We shall assume (as is very often the case) that the general goal of a computer vision system is to recognize objects of …","https://ieeexplore.ieee.org/iel1/5/291/00005961.pdf","https://scholar.google.com/scholar?q=related:_UnQRBlLyKUJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
202,"N Sebe, I Cohen, A Garg, TS Huang","Machine learning in computer vision",2005,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=lemw2Rhr_PEC&oi=fnd&pg=PR11&dq=computer+vision&ots=X5bNRZUrlJ&sig=YmVbtcEV4aeno76PEXnWEbeX_aE","https://scholar.google.com/scholar?cites=8342354318287405480&as_sdt=2005&sciodt=2007&hl=en",25,"2023-02-21 11:50:24","BOOK","","","",,,,,202,11.22,51,4,18,"… techniques into computer vision applications. An innovative combination of computer vision and machine learning techniques has the promise of advancing the field of computer vision, …","http://kto.tam.free.fr/M/003/Machine.Learning.in.Computer.Vision.Springer.Aug.2005.eBook-DDU/Machine.Learning.in.Computer.Vision.Springer.Aug.2005.eBook-DDU.pdf","https://scholar.google.com/scholar?q=related:qIH3gw3_xXMJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
3572,"A Vedaldi, B Fulkerson","VLFeat: An open and portable library of computer vision algorithms",2010,"Proceedings of the 18th ACM international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1873951.1874249","https://scholar.google.com/scholar?cites=1465360568455406325&as_sdt=2005&sciodt=2007&hl=en",26,"2023-02-21 11:50:24","","10.1145/1873951.1874249","","",,,,,3572,274.77,1786,2,13,"… It aims at facilitating fast prototyping and reproducible research for computer vision scientists and … , a library of computer vision algorithms for fast prototyping in computer vision research. …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=63dfcfb2af835ec986b43f87b6a34b3a3c7ee853","https://scholar.google.com/scholar?q=related:9SKmVqwBVhQJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
755,"BG Baumgart","Geometric modeling for computer vision.",1974,"","search.proquest.com","https://search.proquest.com/openview/8194ebf7f38e297224facbdc90e3976f/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=2737093168947421072&as_sdt=2005&sciodt=2007&hl=en",27,"2023-02-21 11:50:24","BOOK","","","",,,,,755,15.41,755,1,49,"… system for application to computer vision. ln computer vision geometric models provide a goal for descriptive image analysis, an origin for verification image synthesis, and a context for …","https://apps.dtic.mil/sti/pdfs/ADA002261.pdf","https://scholar.google.com/scholar?q=related:kF9CRLwb_CUJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
400,"L Nanni, S Ghidoni, S Brahnam","Handcrafted vs. non-handcrafted features for computer vision classification",2017,"Pattern Recognition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0031320317302224","https://scholar.google.com/scholar?cites=1864550212020596291&as_sdt=2005&sciodt=2007&hl=en",28,"2023-02-21 11:50:24","HTML","","","",,,,,400,66.67,133,3,6,"… This work presents a generic computer vision system designed … for creating the generic computer vision system starting from … The computer vision system based on the proposed …","https://www.sciencedirect.com/science/article/pii/S0031320317302224","https://scholar.google.com/scholar?q=related:Q-5d_Yk24BkJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
493,"N Paragios, Y Chen, OD Faugeras","Handbook of mathematical models in computer vision",2006,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=pPSK7_9R4IsC&oi=fnd&pg=PR18&dq=computer+vision&ots=j3973yM2t9&sig=R3FwfABpR7NNcHugiiLmV2qzAWw","https://scholar.google.com/scholar?cites=15501671069988159871&as_sdt=2005&sciodt=2007&hl=en",29,"2023-02-21 11:50:24","BOOK","","","",,,,,493,29.00,164,3,17,"Abstract Biological vision is a rather fascinating domain of … In his view human vision was based on a complete surface … The emerg ing concept of active vision consists of a selective …","","https://scholar.google.com/scholar?q=related:fwGY77T_INcJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
82,"RI Hartley, JL Mundy","Relationship between photogrammmetry and computer vision",1993,"… with scene analysis and machine vision","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1944/0000/Relationship-between-photogrammmetry-and-computer-vision/10.1117/12.155818.short","https://scholar.google.com/scholar?cites=4037588695295962823&as_sdt=2005&sciodt=2007&hl=en",30,"2023-02-21 11:50:24","","10.1117/12.155818.short","","",,,,,82,2.73,41,2,30,"… The relationship between photogrammetry and computer vision is examined. This paper reviews the central issues for both computer vision and photogrammetry and the shared goals …","http://users.cecs.anu.edu.au/~hartley/Papers/SPIE-93/joint-paper/joint2.pdf","https://scholar.google.com/scholar?q=related:x64_vIZlCDgJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
151,"S Xu, J Wang, W Shou, T Ngo, AM Sadick…","Computer vision techniques in construction: a critical review",2021,"… Methods in Engineering","Springer","https://link.springer.com/article/10.1007/s11831-020-09504-3","https://scholar.google.com/scholar?cites=9206238541394251532&as_sdt=2005&sciodt=2007&hl=en",31,"2023-02-21 11:50:24","HTML","10.1007/s11831-020-09504-3","","",,,,,151,75.50,25,6,2,"… computer vision for assisting on-site managerial tasks. This paper reviews studies on computer vision in the past decade, with a focus on state-of-the-art methods in a typical vision-…","https://link.springer.com/article/10.1007/s11831-020-09504-3","https://scholar.google.com/scholar?q=related:DI9QOS0hw38J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
611,"S Khan, H Rahmani, SAA Shah…","A guide to convolutional neural networks for computer vision",2018,"… computer vision","Morgan &Claypool Publishers","","https://scholar.google.com/scholar?cites=5401997461396872437&as_sdt=2005&sciodt=2007&hl=en",32,"2023-02-21 11:50:24","CITATION","","","",,,,,611,122.20,153,4,5,"","","https://scholar.google.com/scholar?q=related:9Vwf9BHA90oJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
541,"B Cyganek, JP Siebert","An introduction to 3D computer vision techniques and algorithms",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=4leU0ZBkHngC&oi=fnd&pg=PT9&dq=computer+vision&ots=6XWxu9l-8j&sig=bhNcsPkbv2Y5e9RB7RdNXwj1UtU","https://scholar.google.com/scholar?cites=4314994711412115944&as_sdt=2005&sciodt=2007&hl=en",33,"2023-02-21 11:50:24","BOOK","","","",,,,,541,45.08,271,2,12,"… areas of computer science, including computer vision. This … society for qualitatively new features to be afforded by computers. … 3D computer vision methods and implementations would …","http://sutlib2.sut.ac.th/sut_contents/H124814.pdf","https://scholar.google.com/scholar?q=related:6IloBdTw4TsJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
1455,"TF Cootes, CJ Taylor","Statistical models of appearance for computer vision",2004,"","face-rec.org","https://www.face-rec.org/Algorithms/AAM/app_models.pdf","https://scholar.google.com/scholar?cites=14524297185219938026&as_sdt=2005&sciodt=2007&hl=en",34,"2023-02-21 11:50:24","PDF","","","",,,,,1455,76.58,728,2,19,"The majority of tasks to which machine vision might usefully be applied are’hard’. The examples we use in this work are from medical image interpretation and face recognition, though …","https://www.face-rec.org/Algorithms/AAM/app_models.pdf","https://scholar.google.com/scholar?q=related:6oY9QVarkMkJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
210,"P Meer","Robust techniques for computer vision",2004,"Emerging topics in computer vision","sites.rutgers.edu","https://sites.rutgers.edu/peter-meer/wp-content/uploads/sites/69/2018/12/rotechcv.pdf","https://scholar.google.com/scholar?cites=5727874176445558448&as_sdt=2005&sciodt=2007&hl=en",35,"2023-02-21 11:50:24","PDF","","","",,,,,210,11.05,210,1,19,"… sense, robustness of a computer vision algorithm is … computer vision algorithms is still far away from that of human visual perception, we should consider the hierarchy of computer vision …","https://sites.rutgers.edu/peter-meer/wp-content/uploads/sites/69/2018/12/rotechcv.pdf","https://scholar.google.com/scholar?q=related:sK4rRTd_fU8J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
1123,"C Blehm, S Vishnu, A Khattak, S Mitra, RW Yee","Computer vision syndrome: a review",2005,"Survey of ophthalmology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0039625705000093","https://scholar.google.com/scholar?cites=15727759802766652039&as_sdt=2005&sciodt=2007&hl=en",36,"2023-02-21 11:50:24","","","","",,,,,1123,62.39,225,5,18,"… to as computer vision syndrome. This article describes both the characteristics and treatment modalities that are available at this time. Computer vision … to computer vision syndrome …","https://www.academia.edu/download/73537311/j.survophthal.2005.02.00820211024-16284-1rindb.pdf","https://scholar.google.com/scholar?q=related:h_KSHDY6RNoJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
797,"N O'Mahony, S Campbell, A Carvalho…","Deep learning vs. traditional computer vision",2020,"… in Computer Vision …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-17795-9_10","https://scholar.google.com/scholar?cites=15881137346347303574&as_sdt=2005&sciodt=2007&hl=en",37,"2023-02-21 11:50:24","","10.1007/978-3-030-17795-9_10","","",,,,,797,265.67,199,4,3,"… computer vision techniques should be maintained. The paper will also explore how the two sides of computer vision can … the ability to improve computer vision performance and to tackle …","https://arxiv.org/pdf/1910.13796.pdf?trk=public_post_comment-text","https://scholar.google.com/scholar?q=related:loI4TkYiZdwJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
590,"K Pulli, A Baksheev, K Kornyakov…","Real-time computer vision with OpenCV",2012,"Communications of the …","dl.acm.org","https://dl.acm.org/doi/fullHtml/10.1145/2184319.2184337","https://scholar.google.com/scholar?cites=2021512854631811746&as_sdt=2005&sciodt=2007&hl=en",38,"2023-02-21 11:50:24","","10.1145/2184319.2184337","","",,,,,590,53.64,148,4,11,"… CoMpUter vIsIon Is a rapidly growing field devoted to analyzing, modifying, and high-level understanding of images. Its objective is to determine what is happening in front of a camera and …","https://dl.acm.org/doi/pdf/10.1145/2181796.2206309","https://scholar.google.com/scholar?q=related:ogo3GTvbDRwJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
445,"VS Nalwa","A guided tour of computer vision",1994,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/192076","https://scholar.google.com/scholar?cites=6691819862130777834&as_sdt=2005&sciodt=2007&hl=en",39,"2023-02-21 11:50:24","BOOK","10.5555/192076","","",,,,,445,15.34,445,1,29,"… ); the second is the basic computer vision text; and the third is a … For the purposes of this book, computer vision includes … This overview gives a quick introduction to computer vision with …","","https://scholar.google.com/scholar?q=related:6l41t7Ue3lwJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
276,"L Matthies, M Maimone, A Johnson, Y Cheng…","Computer vision on Mars",2007,"… of Computer Vision","Springer","https://link.springer.com/article/10.1007/s11263-007-0046-z","https://scholar.google.com/scholar?cites=7062699416549615491&as_sdt=2005&sciodt=2007&hl=en",40,"2023-02-21 11:50:24","","10.1007/s11263-007-0046-z","","",,,,,276,17.25,55,5,16,"… computer vision for planetary rovers and landers and has four main parts. First, we review major milestones in the development of computer vision … of computer vision algorithms used on …","https://link.springer.com/content/pdf/10.1007/s11263-007-0046-z.pdf","https://scholar.google.com/scholar?q=related:g2fMFrO_A2IJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
