Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Authors_raw_l,Authors_raw_r,Title_raw_l,Title_raw_r,Keywords_raw_l,Keywords_raw_r,Flag,Pair of Article,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A review on computer vision systems in monitoring of poultry: A welfare perspective,A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","Agriculture,Computer vision,Machine learning,Plant phenotyping",0,11,0.0,0.2777777777777778,0.25,0.2361111111111111
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['alhasan as', 'aalam wa']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS","Alhasan AS,Aalam WA",Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,Magnitude and Determinants of Computer Vision Syndrome Among Radiologists in Saudi Arabia: A National Survey,"Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","Computer Vision Syndrome,Eyestrain,Occupational hazards,Radiologists,Saudi Arabia",0,12,0.0,0.2608695652173913,0.25,0.22934782608695653
['tombe r'],"['vinitha v', 'velantina v']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'deep learning', 'opencv']",Tombe R,"Vinitha V,Velantina V",Computer Vision for Smart Farming and Sustainable Agriculture,Covid-19 Facemask Detection With Deep Learning and Computer Vision,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","computer vision,deep learning,opencv",0,13,0.0,0.21428571428571427,0.2857142857142857,0.22857142857142856
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,A critical review on computer vision and artificial intelligence in food industry,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply",0,14,0.0,0.15384615384615385,0.3333333333333333,0.2282051282051282
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"Agriculture,Computer vision,Machine learning,Plant phenotyping","agriculture,computer vision,deep learning model,wheat disease",1,15,0.0,0.14285714285714285,0.3333333333333333,0.2238095238095238
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['bhargava a', 'bansal a']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","Bhargava A,Bansal A",A critical review on computer vision and artificial intelligence in food industry,Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",0,16,0.0,0.3888888888888889,0.125,0.21805555555555556
"['vinitha v', 'velantina v']","['deepan p', 'sudha lr']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']","Vinitha V,Velantina V","Deepan P,Sudha LR",Covid-19 Facemask Detection With Deep Learning and Computer Vision,Deep Learning Algorithm and Its Applications to IoT and Computer Vision,"computer vision,deep learning,opencv","Adversarial network and encoder,Convolutional network,Deep learning,Internet of Things,Recurrent network",0,17,0.0,0.35714285714285715,0.14285714285714285,0.2142857142857143
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['sood s', 'singh h']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Sood S,Singh H",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Computer Vision and Machine Learning based approaches for Food Security: A Review,"Agriculture,Computer vision,Machine learning,Plant phenotyping","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming",0,18,0.0,0.5333333333333333,0.0,0.21333333333333335
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A critical review on computer vision and artificial intelligence in food industry,A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","Agriculture,Computer vision,Machine learning,Plant phenotyping",0,19,0.0,0.35294117647058826,0.14285714285714285,0.21260504201680674
['tombe r'],"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']",Tombe R,"Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",Computer Vision for Smart Farming and Sustainable Agriculture,A review on computer vision systems in monitoring of poultry: A welfare perspective,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare",1,20,0.0,0.1111111111111111,0.3333333333333333,0.2111111111111111
['tombe r'],"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']",Tombe R,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision for Smart Farming and Sustainable Agriculture,Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","anemia,artificial neural network,computer vision,deep learning",0,21,0.0,0.21052631578947367,0.25,0.20921052631578946
"['vinitha v', 'velantina v']","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'machine perception', 'medicine']","Vinitha V,Velantina V","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Covid-19 Facemask Detection With Deep Learning and Computer Vision,Deep learning-enabled medical computer vision,"computer vision,deep learning,opencv","computer vision,machine perception,medicine",0,22,0.0,0.2727272727272727,0.2,0.2090909090909091
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['vij r', 'arora s']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Vij R,Arora S",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"anemia,artificial neural network,computer vision,deep learning","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",1,23,0.0,0.20833333333333334,0.25,0.20833333333333334
['tombe r'],"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['covid-19', 'computer vision', 'radiology']",Tombe R,"Punia R,Kumar L,Mujahid M,Rohilla R",Computer Vision for Smart Farming and Sustainable Agriculture,Computer vision and radiology for COVID-19 detection,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","COVID-19,Computer Vision,Radiology",0,24,0.0,0.36363636363636365,0.125,0.20795454545454548
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['wangsan k', 'upaphong p', 'assavanopakun p', 'sapbamrer r', 'sirikul w', 'kitro a', 'sirimaharaj n', 'kuanprasert s', 'saenpo m', 'saetiao s', 'khamphichai t']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['self-reported', 'computer', 'vision', 'syndrome', 'among', 'thai', 'university', 'students', 'in', 'virtual', 'classrooms', 'during', 'the', 'covid-19', 'pandemic:', 'prevalence', 'and', 'associated', 'factors']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","['covid-19 impact', 'computer vison syndrome', 'digital eye strain', 'digital screen', 'online study', 'video display terminal', 'virtual classroom', 'visual display terminal']","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS","Wangsan K,Upaphong P,Assavanopakun P,Sapbamrer R,Sirikul W,Kitro A,Sirimaharaj N,Kuanprasert S,Saenpo M,Saetiao S,Khamphichai T",Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,Self-Reported Computer Vision Syndrome among Thai University Students in Virtual Classrooms during the COVID-19 Pandemic: Prevalence and Associated Factors,"Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","COVID-19 impact,computer vison syndrome,digital eye strain,digital screen,online study,video display terminal,virtual classroom,visual display terminal",1,25,0.0,0.5,0.0,0.2
['tombe r'],"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",Tombe R,"Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",Computer Vision for Smart Farming and Sustainable Agriculture,A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Agriculture,Computer vision,Machine learning,Plant phenotyping",1,26,0.0,0.1875,0.25,0.2
"['vinitha v', 'velantina v']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","Vinitha V,Velantina V","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Covid-19 Facemask Detection With Deep Learning and Computer Vision,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"computer vision,deep learning,opencv","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0,27,0.0,0.08333333333333333,0.3333333333333333,0.19999999999999998
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"anemia,artificial neural network,computer vision,deep learning","Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike",0,28,0.0,0.13793103448275862,0.2857142857142857,0.1980295566502463
